Inference for Bugs model at "GCM_3J.txt", fit using jags,
 2 chains, each with 11000 iterations (first 1000 discarded)
 n.sims = 20000 iterations saved
             mu.vect sd.vect     2.5%      25%      50%      75%    97.5%  Rhat n.eff
c[1]           1.084   0.258    0.576    0.912    1.085    1.256    1.594 1.003   630
c[2]           1.288   0.320    0.682    1.074    1.274    1.491    1.949 1.007   320
c[3]           1.047   0.242    0.577    0.885    1.044    1.204    1.532 1.003   610
c[4]           1.501   0.299    0.955    1.297    1.485    1.685    2.134 1.001  8800
c[5]           1.417   0.276    0.904    1.229    1.410    1.592    1.995 1.002  4400
c[6]           1.949   0.327    1.366    1.721    1.928    2.155    2.648 1.003   600
c[7]           0.920   0.262    0.416    0.747    0.919    1.087    1.428 1.010   670
c[8]           1.801   0.321    1.232    1.583    1.781    1.995    2.496 1.001 15000
c[9]           1.747   0.289    1.215    1.551    1.735    1.930    2.359 1.001 20000
c[10]          1.703   0.307    1.154    1.490    1.686    1.892    2.370 1.002  2300
c[11]          1.887   0.319    1.319    1.669    1.865    2.086    2.575 1.001  3800
c[12]          1.449   0.273    0.933    1.265    1.440    1.624    2.011 1.001  2900
c[13]          1.568   0.281    1.050    1.373    1.559    1.747    2.153 1.001  4800
c[14]          1.765   0.290    1.237    1.564    1.753    1.949    2.374 1.001 12000
c[15]          0.883   0.274    0.376    0.704    0.874    1.049    1.430 1.010   220
c[16]          1.338   0.275    0.816    1.153    1.330    1.512    1.902 1.001  3500
c[17]          1.943   0.328    1.362    1.715    1.918    2.145    2.649 1.001  6800
c[18]          1.378   0.270    0.871    1.197    1.371    1.553    1.931 1.001  3000
c[19]          1.749   0.294    1.208    1.547    1.739    1.933    2.364 1.001 20000
c[20]          1.801   0.308    1.250    1.590    1.783    1.994    2.450 1.002  1200
c[21]          0.991   0.257    0.495    0.819    0.990    1.158    1.504 1.004   490
c[22]          1.060   0.611    0.121    0.540    1.020    1.519    2.279 1.024    72
c[23]          0.989   0.469    0.245    0.665    0.916    1.241    2.088 1.058    41
c[24]          0.946   0.318    0.378    0.733    0.926    1.133    1.641 1.034    93
c[25]          1.382   0.335    0.765    1.151    1.368    1.596    2.086 1.001  3000
c[26]          1.431   0.317    0.862    1.217    1.412    1.625    2.110 1.001 20000
c[27]          1.059   0.303    0.497    0.854    1.049    1.255    1.683 1.002  2000
c[28]          1.983   0.364    1.367    1.729    1.949    2.196    2.793 1.002  1500
c[29]          1.295   0.595    0.074    0.944    1.346    1.685    2.417 1.011   440
c[30]          1.292   0.263    0.780    1.117    1.292    1.466    1.806 1.002  2500
c[31]          1.295   0.596    0.064    0.951    1.348    1.685    2.400 1.027   160
c[32]          1.414   0.272    0.894    1.232    1.409    1.590    1.971 1.001 20000
c[33]          1.516   0.330    0.926    1.287    1.494    1.724    2.211 1.001  4900
c[34]          1.192   0.304    0.620    0.987    1.183    1.387    1.825 1.004  2300
c[35]          1.177   0.254    0.693    1.003    1.175    1.345    1.689 1.004   430
c[36]          0.908   0.340    0.312    0.689    0.884    1.090    1.694 1.005   340
c[37]          1.622   0.284    1.092    1.428    1.610    1.804    2.217 1.001 13000
c[38]          1.207   0.613    0.093    0.752    1.274    1.636    2.331 1.019   150
c[39]          1.711   0.359    1.081    1.465    1.682    1.931    2.497 1.001  9900
c[40]          1.173   0.606    0.097    0.681    1.222    1.600    2.315 1.011   290
cpredg[1]      1.392   0.513    0.367    1.060    1.388    1.719    2.432 1.009   890
cpredg[2]      1.405   0.516    0.373    1.074    1.398    1.728    2.445 1.005  1100
delta          0.706   0.144    0.197    0.696    0.736    0.768    0.917 1.013   400
muc            1.376   0.140    1.069    1.305    1.387    1.464    1.607 1.059    96
muw[1]         0.161   0.271    0.002    0.016    0.040    0.094    0.938 1.015   110
muw[2]         0.811   0.092    0.707    0.758    0.781    0.816    1.000 1.013   270
phic           0.131   0.062    0.027    0.086    0.125    0.169    0.266 1.036    67
phig           0.733   0.157    0.214    0.700    0.768    0.822    0.918 1.023 20000
predyg[1,1]    5.316   1.524    2.000    4.000    5.000    6.000    8.000 1.003   730
predyg[2,1]    6.809   1.208    4.000    6.000    7.000    8.000    8.000 1.001 20000
predyg[3,1]    4.006   1.416    1.000    3.000    4.000    5.000    7.000 1.001 13000
predyg[1,2]    4.380   1.665    1.000    3.000    4.000    6.000    8.000 1.004   530
predyg[2,2]    6.441   1.349    3.000    6.000    7.000    7.000    8.000 1.001 20000
predyg[3,2]    3.985   1.415    1.000    3.000    4.000    5.000    7.000 1.001 17000
predyg[1,3]    6.618   1.275    4.000    6.000    7.000    8.000    8.000 1.001  8300
predyg[2,3]    5.869   1.415    3.000    5.000    6.000    7.000    8.000 1.001  5300
predyg[3,3]    3.995   1.420    1.000    3.000    4.000    5.000    7.000 1.001 20000
predyg[1,4]    1.401   1.359    0.000    0.000    1.000    2.000    5.000 1.001 20000
predyg[2,4]    2.924   1.560    0.000    2.000    3.000    4.000    6.000 1.001 20000
predyg[3,4]    3.985   1.413    1.000    3.000    4.000    5.000    7.000 1.001 20000
predyg[1,5]    6.455   1.359    3.000    6.000    7.000    7.000    8.000 1.001 17000
predyg[2,5]    5.165   1.531    2.000    4.000    5.000    6.000    8.000 1.001  4800
predyg[3,5]    3.990   1.414    1.000    3.000    4.000    5.000    7.000 1.001 18000
predyg[1,6]    1.252   1.257    0.000    0.000    1.000    2.000    4.000 1.001 20000
predyg[2,6]    2.218   1.439    0.000    1.000    2.000    3.000    5.000 1.002  1500
predyg[3,6]    4.006   1.423    1.000    3.000    4.000    5.000    7.000 1.001 20000
predyg[1,7]    3.801   1.696    0.000    3.000    4.000    5.000    7.000 1.003   880
predyg[2,7]    1.540   1.363    0.000    0.000    1.000    2.000    5.000 1.001  6300
predyg[3,7]    4.007   1.416    1.000    3.000    4.000    5.000    7.000 1.001 20000
predyg[1,8]    2.857   1.569    0.000    2.000    3.000    4.000    6.000 1.002  1100
predyg[2,8]    1.190   1.224    0.000    0.000    1.000    2.000    4.000 1.001  4400
predyg[3,8]    3.981   1.412    1.000    3.000    4.000    5.000    7.000 1.001 20000
